Vernr,Bokföringsdatum,Registreringsdatum,Konto,Benämning,Ks,Projnr,Verifikationstext,Transaktionsinfo,Debet,Kredit
K41,2025-02-07,2025-04-10,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"99,00",
K42,2025-02-06,2025-04-10,2640,Ingående moms,,,CONFETTI 810 SMS CREDI,Peder Burenstam Linder - 8538 virtual - Online expenses.,"243,00",
K42,2025-02-06,2025-04-10,1960,Mynt,,,CONFETTI 810 SMS CREDI,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"1215,00"
K42,2025-02-06,2025-04-10,5420,Programvaror,,,CONFETTI 810 SMS CREDI,,"972,00",
K43,2025-02-02,2025-04-10,4535,"Inköp av tjänster från annat EU-land, 25 %",,,GOOGLE*GSUITE CILLERS.,Peder Burenstam Linder - 8538 virtual - Online expenses.,"487,08",
K43,2025-02-02,2025-04-10,2645,Beräknad ingående moms på förvärv från utlandet,,,GOOGLE*GSUITE CILLERS.,Peder Burenstam Linder - 8538 virtual - Online expenses.,"121,77",
K43,2025-02-02,2025-04-10,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,GOOGLE*GSUITE CILLERS.,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"121,77"
K43,2025-02-02,2025-04-10,1960,Mynt,,,GOOGLE*GSUITE CILLERS.,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"487,08"
K43,2025-02-02,2025-04-10,4599,"Justering, omvänd moms",,,GOOGLE*GSUITE CILLERS.,,,"487,08"
K43,2025-02-02,2025-04-10,5420,Programvaror,,,GOOGLE*GSUITE CILLERS.,,"487,08",
K44,2025-02-01,2025-04-10,6072,"Representation, ej avdragsgill",,,Italiano Soder AB,"Peder Burenstam Linder - 9022 physical - Default card. Participants: Per Lange, Cillers AB. Peder Bu","524,55",
K44,2025-02-01,2025-04-10,2640,Ingående moms,,,Italiano Soder AB,"Peder Burenstam Linder - 9022 physical - Default card. Participants: Per Lange, Cillers AB. Peder Bu","62,95",
K44,2025-02-01,2025-04-10,1960,Mynt,,,Italiano Soder AB,"Peder Burenstam Linder - 9022 physical - Default card. Participants: Per Lange, Cillers AB. Peder Bu",,"587,50"
K45,2025-02-01,2025-04-10,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,OPENAI,Peder Burenstam Linder - 8538 virtual - Online expenses.,"1130,62",
K45,2025-02-01,2025-04-10,2645,Beräknad ingående moms på förvärv från utlandet,,,OPENAI,Peder Burenstam Linder - 8538 virtual - Online expenses.,"282,66",
K45,2025-02-01,2025-04-10,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,OPENAI,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"282,66"
K45,2025-02-01,2025-04-10,1960,Mynt,,,OPENAI,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"1130,62"
K45,2025-02-01,2025-04-10,4599,"Justering, omvänd moms",,,OPENAI,,,"1130,62"
K45,2025-02-01,2025-04-10,5420,Programvaror,,,OPENAI,,"1130,62",
K46,2025-02-01,2025-04-10,2640,Ingående moms,,,LINKBASE,Peder Burenstam Linder - 8538 virtual - Online expenses.,"73,75",
K46,2025-02-01,2025-04-10,1960,Mynt,,,LINKBASE,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"368,75"
K46,2025-02-01,2025-04-10,5420,Programvaror,,,LINKBASE,,"295,00",
K47,2025-02-01,2025-04-10,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,"211,00",
K47,2025-02-01,2025-04-10,2645,Beräknad ingående moms på förvärv från utlandet,,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,"52,75",
K47,2025-02-01,2025-04-10,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"52,75"
K47,2025-02-01,2025-04-10,1960,Mynt,,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"211,00"
K47,2025-02-01,2025-04-10,4599,"Justering, omvänd moms",,,CLAUDE.AI SUBSCRIPTION,,,"211,00"
K47,2025-02-01,2025-04-10,5420,Programvaror,,,CLAUDE.AI SUBSCRIPTION,,"211,00",
K48,2025-02-01,2025-04-10,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,Mailchimp,Peder Burenstam Linder - 8538 virtual - Online expenses.,"3832,08",
K48,2025-02-01,2025-04-10,2645,Beräknad ingående moms på förvärv från utlandet,,,Mailchimp,Peder Burenstam Linder - 8538 virtual - Online expenses.,"958,02",
K48,2025-02-01,2025-04-10,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,Mailchimp,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"958,02"
K48,2025-02-01,2025-04-10,1960,Mynt,,,Mailchimp,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"3832,08"
K48,2025-02-01,2025-04-10,4599,"Justering, omvänd moms",,,Mailchimp,,,"3832,08"
K48,2025-02-01,2025-04-10,5420,Programvaror,,,Mailchimp,,"3832,08",
K49,2025-02-01,2025-04-10,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,POLAR SOFTWARE INC,Peder Burenstam Linder - 8538 virtual - Online expenses.,"227,93",
K49,2025-02-01,2025-04-10,2645,Beräknad ingående moms på förvärv från utlandet,,,POLAR SOFTWARE INC,Peder Burenstam Linder - 8538 virtual - Online expenses.,"56,98",
K49,2025-02-01,2025-04-10,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,POLAR SOFTWARE INC,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"56,98"
K49,2025-02-01,2025-04-10,1960,Mynt,,,POLAR SOFTWARE INC,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"227,93"
K49,2025-02-01,2025-04-10,4599,"Justering, omvänd moms",,,POLAR SOFTWARE INC,,,"227,93"
K49,2025-02-01,2025-04-10,5420,Programvaror,,,POLAR SOFTWARE INC,,"227,93",
K50,2025-03-26,2025-04-10,1960,Mynt,,,Zettle*Annorlunda Eve,Per Lange - 0481 physical - Default card.,,"11586,00"
K50,2025-03-26,2025-04-10,2640,Ingående moms,,,Zettle*Annorlunda Eve,,"1241,36",
K50,2025-03-26,2025-04-10,4000,Inköp av varor från Sverige,,,Zettle*Annorlunda Eve,,"10344,64",
K51,2025-03-28,2025-04-10,6990,Övriga externa kostnader,,,Mynt subscription fee,,"99,00",
K51,2025-03-28,2025-04-10,2640,Ingående moms,,,Mynt subscription fee,,"24,75",
K51,2025-03-28,2025-04-10,1960,Mynt,,,Mynt subscription fee,,,"123,75"
K52,2025-03-27,2025-04-10,2640,Ingående moms,,,COOP CENTRALEN,Per Lange - 0481 physical - Default card.,"116,04",
K52,2025-03-27,2025-04-10,1960,Mynt,,,COOP CENTRALEN,Per Lange - 0481 physical - Default card.,,"1079,60"
K52,2025-03-27,2025-04-10,4000,Inköp av varor från Sverige,,,COOP CENTRALEN,,"963,56",
K53,2025-02-28,2025-04-10,6990,Övriga externa kostnader,,,Mynt subscription fee,,"99,00",
K53,2025-02-28,2025-04-10,2640,Ingående moms,,,Mynt subscription fee,,"24,75",
K53,2025-02-28,2025-04-10,1960,Mynt,,,Mynt subscription fee,,,"123,75"
K54,2025-02-01,2025-04-10,6990,Övriga externa kostnader,,,Mynt subscription fee,,"99,00",
K54,2025-02-01,2025-04-10,2640,Ingående moms,,,Mynt subscription fee,,"24,75",
K54,2025-02-01,2025-04-10,1960,Mynt,,,Mynt subscription fee,,,"123,75"
K55,2025-04-10,2025-04-14,5810,Biljetter,,,SJ PENDELTAGEN ARLANDA,Per Lange - 0481 physical - Default card. Finland konferens,"179,25",
K55,2025-04-10,2025-04-14,2640,Ingående moms,,,SJ PENDELTAGEN ARLANDA,Per Lange - 0481 physical - Default card. Finland konferens,"10,75",
K55,2025-04-10,2025-04-14,1960,Mynt,,,SJ PENDELTAGEN ARLANDA,Per Lange - 0481 physical - Default card. Finland konferens,,"190,00"
K56,2025-04-05,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 7764 virtual - Standardkort. hackaping,,"368,00"
K56,2025-04-05,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"368,00",
K57,2025-03-30,2025-04-14,1960,Mynt,,,CLAUDE.AI SUBSCRIPTION,Per Lange - 7764 virtual - Standardkort.,,"199,54"
K57,2025-03-30,2025-04-14,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,CLAUDE.AI SUBSCRIPTION,,"199,54",
K57,2025-03-30,2025-04-14,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,CLAUDE.AI SUBSCRIPTION,,,"49,89"
K57,2025-03-30,2025-04-14,2645,Beräknad ingående moms på förvärv från utlandet,,,CLAUDE.AI SUBSCRIPTION,,"49,89",
K57,2025-03-30,2025-04-14,4599,"Justering, omvänd moms",,,CLAUDE.AI SUBSCRIPTION,,,"199,54"
K57,2025-03-30,2025-04-14,5420,Programvaror,,,CLAUDE.AI SUBSCRIPTION,,"199,54",
K58,2025-03-29,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 7764 virtual - Standardkort.,,"172,00"
K58,2025-03-29,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"172,00",
K59,2025-03-29,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 7764 virtual - Standardkort.,,"169,00"
K59,2025-03-29,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"169,00",
K60,2025-03-27,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 7764 virtual - Standardkort.,,"240,00"
K60,2025-03-27,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"240,00",
K61,2025-03-14,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"125,00"
K61,2025-03-14,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"125,00",
K62,2025-03-14,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K62,2025-03-14,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K63,2025-03-12,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"108,00"
K63,2025-03-12,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"108,00",
K64,2025-03-12,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K64,2025-03-12,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K65,2025-03-07,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"153,00"
K65,2025-03-07,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"153,00",
K66,2025-03-01,2025-04-14,1960,Mynt,,,CLAUDE.AI SUBSCRIPTION,Per Lange - 4517 virtual - Online Purchases.,,"205,41"
K66,2025-03-01,2025-04-14,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,CLAUDE.AI SUBSCRIPTION,,"205,41",
K66,2025-03-01,2025-04-14,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,CLAUDE.AI SUBSCRIPTION,,,"51,35"
K66,2025-03-01,2025-04-14,2645,Beräknad ingående moms på förvärv från utlandet,,,CLAUDE.AI SUBSCRIPTION,,"51,35",
K66,2025-03-01,2025-04-14,4599,"Justering, omvänd moms",,,CLAUDE.AI SUBSCRIPTION,,,"205,41"
K66,2025-03-01,2025-04-14,5420,Programvaror,,,CLAUDE.AI SUBSCRIPTION,,"205,41",
K67,2025-02-15,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"99,00"
K67,2025-02-15,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"99,00",
K68,2025-02-15,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"155,00"
K68,2025-02-15,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"155,00",
K69,2025-02-12,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,"Per Lange - 4517 virtual - Online Purchases. var köer i stan, så vi fick köra en omväg, därav dyr r",,"664,00"
K69,2025-02-12,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,"Per Lange - 4517 virtual - Online Purchases.var köer i stan, så vi fick köra en omväg, därav dyr r","664,00",
K70,2025-02-11,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases. ängelholm föreläsning (det gällde också förra uberkvit,,"569,00"
K70,2025-02-11,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.ängelholm föreläsning (det gällde också förra uberkvit,"569,00",
K71,2025-02-07,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K71,2025-02-07,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K72,2025-02-07,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K72,2025-02-07,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K73,2025-02-06,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"143,00"
K73,2025-02-06,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"143,00",
K74,2025-02-06,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"151,00"
K74,2025-02-06,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"151,00",
K75,2025-02-01,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"181,00"
K75,2025-02-01,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"181,00",
K76,2025-01-30,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"164,00"
K76,2025-01-30,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"164,00",
K77,2025-01-30,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"232,00"
K77,2025-01-30,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"232,00",
K78,2025-01-29,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"145,00"
K78,2025-01-29,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"145,00",
K79,2025-02-01,2025-04-14,1960,Mynt,,,CLAUDE.AI SUBSCRIPTION,Per Lange - 4517 virtual - Online Purchases.,,"211,23"
K79,2025-02-01,2025-04-14,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,CLAUDE.AI SUBSCRIPTION,,"211,23",
K79,2025-02-01,2025-04-14,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,CLAUDE.AI SUBSCRIPTION,,,"52,81"
K79,2025-02-01,2025-04-14,2645,Beräknad ingående moms på förvärv från utlandet,,,CLAUDE.AI SUBSCRIPTION,,"52,81",
K79,2025-02-01,2025-04-14,4599,"Justering, omvänd moms",,,CLAUDE.AI SUBSCRIPTION,,,"211,23"
K79,2025-02-01,2025-04-14,5420,Programvaror,,,CLAUDE.AI SUBSCRIPTION,,"211,23",
K80,2025-01-29,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"145,00"
K80,2025-01-29,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"145,00",
K81,2025-01-25,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"416,00"
K81,2025-01-25,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"416,00",
K82,2025-01-25,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"320,00"
K82,2025-01-25,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"320,00",
K83,2025-01-25,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"217,00"
K83,2025-01-25,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"217,00",
K84,2025-01-25,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"199,00"
K84,2025-01-25,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"199,00",
K85,2025-01-25,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"197,00"
K85,2025-01-25,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"197,00",
K86,2025-01-24,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"123,00"
K86,2025-01-24,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"123,00",
K87,2025-01-24,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"99,00"
K87,2025-01-24,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"99,00",
K88,2025-01-23,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"99,00"
K88,2025-01-23,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"99,00",
K89,2025-01-22,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"151,00"
K89,2025-01-22,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"151,00",
K90,2025-01-22,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K90,2025-01-22,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K91,2025-01-16,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"99,00"
K91,2025-01-16,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"99,00",
K92,2025-01-16,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K92,2025-01-16,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K93,2025-01-15,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K93,2025-01-15,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K94,2025-01-15,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K94,2025-01-15,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K95,2025-01-11,2025-04-14,1960,Mynt,,,UBR* PENDING.UBER.COM,Per Lange - 4517 virtual - Online Purchases.,,"139,00"
K95,2025-01-11,2025-04-14,5800,Resekostnader (gruppkonto),,,UBR* PENDING.UBER.COM,,"139,00",
K96,2025-04-12,2025-04-14,1960,Mynt,,,GONDOLEN AB,Per Lange - 0481 physical - Default card. Lunch med strålfors CIO : planera hackathon,,"709,50"
K96,2025-04-12,2025-04-14,2640,Ingående moms,,,GONDOLEN AB,,"69,11",
K96,2025-04-12,2025-04-14,6072,"Representation, ej avdragsgill",,,GONDOLEN AB,,"640,39",
K97,2025-04-10,2025-04-14,1960,Mynt,,,Original Sokos Hotel P,Per Lange - 0481 physical - Default card.,,"539,32"
K97,2025-04-10,2025-04-14,5800,Resekostnader (gruppkonto),,,Original Sokos Hotel P,,"539,32",
K98,2025-05-07,2025-05-07,1930,Företagskonto/checkkonto/affärskonto,,,Transfer (Deposit),,,"20000,00"
K98,2025-05-07,2025-05-07,1960,Mynt,,,Transfer (Deposit),,"20000,00",
K99,2025-05-05,2025-05-07,1930,Företagskonto/checkkonto/affärskonto,,,Transfer (Deposit),,,"20000,00"
K99,2025-05-05,2025-05-07,1960,Mynt,,,Transfer (Deposit),,"20000,00",
K100,2025-05-04,2025-05-07,4535,"Inköp av tjänster från annat EU-land, 25 %",,,BunnyCDN,Peder Burenstam Linder - 8538 virtual - Online expenses.,"249,16",
K100,2025-05-04,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,BunnyCDN,Peder Burenstam Linder - 8538 virtual - Online expenses.,"62,29",
K100,2025-05-04,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,BunnyCDN,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"62,29"
K100,2025-05-04,2025-05-07,1960,Mynt,,,BunnyCDN,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"249,16"
K100,2025-05-04,2025-05-07,4599,"Justering, omvänd moms",,,BunnyCDN,,,"249,16"
K100,2025-05-04,2025-05-07,5420,Programvaror,,,BunnyCDN,,"249,16",
K101,2025-05-02,2025-05-07,4535,"Inköp av tjänster från annat EU-land, 25 %",,,Google CLOUD KCz6zx,Peder Burenstam Linder - 8538 virtual - Online expenses.,"18217,79",
K101,2025-05-02,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,Google CLOUD KCz6zx,Peder Burenstam Linder - 8538 virtual - Online expenses.,"4554,45",
K101,2025-05-02,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,Google CLOUD KCz6zx,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"4554,45"
K101,2025-05-02,2025-05-07,1960,Mynt,,,Google CLOUD KCz6zx,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"18217,79"
K101,2025-05-02,2025-05-07,4599,"Justering, omvänd moms",,,Google CLOUD KCz6zx,,,"18217,79"
K101,2025-05-02,2025-05-07,5420,Programvaror,,,Google CLOUD KCz6zx,,"18217,79",
K102,2025-05-02,2025-05-07,4535,"Inköp av tjänster från annat EU-land, 25 %",,,Google GSUITEcillers.com,Peder Burenstam Linder - 8538 virtual - Online expenses.,"620,15",
K102,2025-05-02,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,Google GSUITEcillers.com,Peder Burenstam Linder - 8538 virtual - Online expenses.,"155,04",
K102,2025-05-02,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,Google GSUITEcillers.com,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"155,04"
K102,2025-05-02,2025-05-07,1960,Mynt,,,Google GSUITEcillers.com,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"620,15"
K102,2025-05-02,2025-05-07,4599,"Justering, omvänd moms",,,Google GSUITEcillers.com,,,"620,15"
K102,2025-05-02,2025-05-07,5420,Programvaror,,,Google GSUITEcillers.com,,"620,15",
K103,2025-04-30,2025-05-07,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,AIRTABLE.COM/BILL,Peder Burenstam Linder - 8538 virtual - Online expenses.,"1189,31",
K103,2025-04-30,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,AIRTABLE.COM/BILL,Peder Burenstam Linder - 8538 virtual - Online expenses.,"297,33",
K103,2025-04-30,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,AIRTABLE.COM/BILL,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"297,33"
K103,2025-04-30,2025-05-07,1960,Mynt,,,AIRTABLE.COM/BILL,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"1189,31"
K103,2025-04-30,2025-05-07,4599,"Justering, omvänd moms",,,AIRTABLE.COM/BILL,,,"1189,31"
K103,2025-04-30,2025-05-07,5420,Programvaror,,,AIRTABLE.COM/BILL,,"1189,31",
K104,2025-04-30,2025-05-07,2640,Ingående moms,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,"10449,00",
K104,2025-04-30,2025-05-07,1960,Mynt,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,,"52245,00"
K104,2025-04-30,2025-05-07,1220,Inventarier och verktyg,,,APPLE.COM/SE,,"41796,00",
K105,2025-04-29,2025-05-07,6990,Övriga externa kostnader,,,BOLAGSVERKET,Peder Burenstam Linder - 8538 virtual - Online expenses.,"250,00",
K105,2025-04-29,2025-05-07,1960,Mynt,,,BOLAGSVERKET,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"250,00"
K106,2025-04-28,2025-05-07,4531,"Inköp av tjänster från ett land utanför EU, 25 % moms",,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,"202,76",
K106,2025-04-28,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,"50,69",
K106,2025-04-28,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"50,69"
K106,2025-04-28,2025-05-07,1960,Mynt,,,CLAUDE.AI SUBSCRIPTION,Peder Burenstam Linder - 8538 virtual - Online expenses.,,"202,76"
K107,2025-04-30,2025-05-07,4535,"Inköp av tjänster från annat EU-land, 25 %",,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,"4295,00",
K107,2025-04-30,2025-05-07,2645,Beräknad ingående moms på förvärv från utlandet,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,"1073,75",
K107,2025-04-30,2025-05-07,2614,"Utgående moms omvänd skattskyldighet, 25 %",,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,,"1073,75"
K107,2025-04-30,2025-05-07,1960,Mynt,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,,"4295,00"
K107,2025-04-30,2025-05-07,4599,"Justering, omvänd moms",,,APPLE.COM/SE,,,"4295,00"
K107,2025-04-30,2025-05-07,5410,Förbrukningsinventarier,,,APPLE.COM/SE,,"4295,00",
K108,2025-04-25,2025-05-07,5410,Förbrukningsinventarier,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,"19080,00",
K108,2025-04-25,2025-05-07,2640,Ingående moms,,,APPLE.COM/SE,Peder Burenstam Linder - 9022 physical - Default card.,"4770,00",
